ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2024,2024-01-09,25,Estádio Olímpico Nilton Santos, Flavio Rodrigues de Souza,32564.0,46931.0,Botafogo,Fortaleza,Artur Jorge,Juan Pablo Vojvoda,1.0,2.0,6080.0,1480.0,26.6,30.5,2,0,0.0,0.0,9.0,6.0,13.0,8.0,8.0,12.0,1.0,5.0,2.0,0.0,22.0,10.0,8.0,5.0,Casa,Casa,2024,1
2024,2024-11-08,22,Arena Fonte Nova, Braulio da Silva Machado,45972.0,47364.0,EC Bahia,EC Vitória,Rogério Ceni,Thiago Carpini,7.0,17.0,3745.0,1218.0,28.6,27.9,2,0,1.0,0.0,3.0,7.0,10.0,12.0,11.0,9.0,5.0,1.0,2.0,0.0,7.0,13.0,2.0,3.0,Casa,Casa,2024,11
2024,2024-12-05,6,Estádio Governador Plácido Castelo, Wilton Sampaio,15914.0,60326.0,Fortaleza,Botafogo,Juan Pablo Vojvoda,Artur Jorge,13.0,7.0,1495.0,3210.0,29.8,27.5,1,1,1.0,1.0,6.0,5.0,12.0,19.0,18.0,10.0,4.0,2.0,5.0,0.0,10.0,11.0,5.0,5.0,Empate,Fora,2024,12
2024,2024-11-08,22,Estádio Alfredo Jaconi , Flavio Rodrigues de Souza,5288.0,23726.0,Juventude,Botafogo,Jair Ventura,Artur Jorge,14.0,1.0,690.0,5380.0,27.3,26.0,3,2,2.0,0.0,6.0,12.0,10.0,14.0,14.0,9.0,7.0,4.0,1.0,0.0,16.0,24.0,3.0,8.0,Casa,Casa,2024,11
2024,2024-02-07,13,Allianz Parque, Anderson Daronco,41175.0,43713.0,Palmeiras,Corinthians,Abel Ferreira,Toni Oliveira,2.0,19.0,9010.0,4630.0,26.0,24.4,2,0,0.0,0.0,7.0,3.0,18.0,10.0,10.0,18.0,4.0,8.0,2.0,0.0,19.0,13.0,3.0,8.0,Casa,Casa,2024,2
2024,2024-01-09,25,Estádio Jornalista Mário Filho, Paulo Cesar Zanovelli,45759.0,82238.0,Fluminense,São Paulo,Mano Menezes,Luis Zubeldía,14.0,6.0,2585.0,1975.0,31.3,30.2,2,0,1.0,0.0,5.0,4.0,13.0,16.0,16.0,12.0,2.0,3.0,0.0,0.0,10.0,15.0,3.0,6.0,Casa,Casa,2024,1
2024,2024-01-09,25,Neo Química Arena , Ramon Abatti,45635.0,49205.0,Corinthians,Flamengo,Ramón Díaz,Tite,17.0,4.0,3250.0,7890.0,28.0,30.0,2,1,1.0,1.0,5.0,2.0,18.0,18.0,16.0,17.0,2.0,2.0,3.0,0.0,13.0,10.0,6.0,5.0,Casa,Casa,2024,1
2024,2024-06-10,29,Neo Química Arena , Lucas Paulo Torezin,44866.0,49205.0,Corinthians,Internacional,Ramón Díaz,Roger Machado,18.0,6.0,5250.0,3890.0,26.9,26.5,2,2,1.0,1.0,9.0,9.0,11.0,14.0,12.0,11.0,0.0,4.0,3.0,0.0,15.0,9.0,6.0,2.0,Empate,Casa,2024,6
2024,2024-12-06,8,Estádio Antonio Accioly, Paulo Cesar Zanovelli,12089.0,13000.0,Atlético-GO,Corinthians,Jair Ventura,Toni Oliveira,18.0,16.0,860.0,4290.0,26.7,25.5,2,2,0.0,1.0,3.0,4.0,12.0,13.0,12.0,12.0,1.0,6.0,1.0,0.0,22.0,7.0,8.0,3.0,Empate,Fora,2024,12
2024,2024-02-06,7,Arena MRV, Bruno Arleu de Araújo,37994.0,46000.0,Atlético-MG,EC Bahia,Gabriel Milito,Rogério Ceni,7.0,2.0,5450.0,3120.0,28.5,28.4,1,1,0.0,0.0,5.0,4.0,13.0,9.0,8.0,13.0,1.0,3.0,6.0,0.0,20.0,9.0,11.0,4.0,Empate,Casa,2024,2
2024,2024-09-06,6,Estádio Heriberto Hülse, Bruno Arleu de Araújo,13846.0,,Criciúma EC,Cuiabá-MT,Cláudio Tencati,Petit,9.0,18.0,705.0,1320.0,31.2,28.1,2,5,0.0,3.0,6.0,2.0,10.0,13.0,13.0,10.0,2.0,6.0,5.0,0.0,22.0,13.0,9.0,4.0,Fora,Fora,2024,9
2024,2024-05-10,29,Estádio Nabi Abi Chedid, Braulio da Silva Machado,9989.0,15010.0,RB Bragantino,Palmeiras,Pedro Caixinha,Abel Ferreira,14.0,2.0,3300.0,9450.0,26.2,27.3,0,0,0.0,0.0,1.0,3.0,7.0,14.0,13.0,7.0,5.0,5.0,3.0,0.0,17.0,14.0,5.0,6.0,Empate,Fora,2024,5
2024,2024-12-05,6,Estádio São Januário, Raphael Claus,11084.0,24584.0,Vasco da Gama,EC Vitória,Rafael Paiva,Léo Condé,15.0,19.0,3085.0,1250.0,29.5,26.7,2,1,0.0,0.0,4.0,4.0,12.0,12.0,12.0,12.0,4.0,6.0,1.0,0.0,17.0,13.0,3.0,5.0,Casa,Casa,2024,12
2024,2024-01-06,7,Estádio Major Antônio Couto Pereira, Ramon Abatti,7563.0,60540.0,Grêmio,RB Bragantino,Renato Gaúcho,Pedro Caixinha,14.0,8.0,2960.0,4550.0,27.5,25.1,0,2,0.0,1.0,6.0,0.0,16.0,19.0,19.0,15.0,2.0,1.0,0.0,1.0,9.0,14.0,4.0,7.0,Fora,Fora,2024,1
2024,2024-05-10,29,Arena do Grêmio, Davi de Oliveira Lacerda,22204.0,60540.0,Grêmio,Fortaleza,Renato Gaúcho,Juan Pablo Vojvoda,11.0,3.0,3290.0,1960.0,29.1,29.8,3,1,1.0,1.0,10.0,2.0,11.0,9.0,9.0,10.0,4.0,2.0,2.0,1.0,16.0,7.0,5.0,2.0,Casa,Casa,2024,5
2024,2024-11-05,6,Estádio Jornalista Mário Filho, Ramon Abatti,49438.875,78838.0,Flamengo,Corinthians,Tite,Toni Oliveira,4.0,16.0,9570.0,2590.0,27.0,27.6,2,0,1.0,0.0,13.0,6.0,12.0,16.0,16.0,11.0,3.0,8.0,1.0,1.0,18.0,13.0,4.0,5.0,Casa,Casa,2024,11
